"Prenoèitvene zmogljivosti po: OBÈINE, SKUPINE NASTANITVENIH OBJEKTOV,"
"LETO , MERITVE"

"ZDRAVILIŠKE OBÈINE"
" ";"Hoteli in podobni nastanitveni objekti"
" ";" ";"2008"
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";268
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";264
" ";" ";"2014"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";84
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";356
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";355
" ";" ";"2015"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";61
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";259
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";259
" ";" ";"2016"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";65
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";285
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";285
"Laško"
" ";"Hoteli in podobni nastanitveni objekti"
" ";" ";"2008"
" ";" ";" ";"Število objektov";7
" ";" ";" ";"Število sob";404
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";891
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";737
" ";" ";"2009"
" ";" ";" ";"Število objektov";8
" ";" ";" ";"Število sob";416
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";913
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";754
" ";" ";"2010"
" ";" ";" ";"Število objektov";8
" ";" ";" ";"Število sob";512
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";1116
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";936
" ";" ";"2011"
" ";" ";" ";"Število objektov";10
" ";" ";" ";"Število sob";654
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";1393
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";1213
" ";" ";"2012"
" ";" ";" ";"Število objektov";9
" ";" ";" ";"Število sob";627
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";1331
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";1161
" ";" ";"2013"
" ";" ";" ";"Število objektov";8
" ";" ";" ";"Število sob";617
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";1308
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";1144
" ";" ";"2014"
" ";" ";" ";"Število objektov";10
